time,exp1_s1,exp1_s1_Distorted
10.251256281407,2,2
10.251256281407,6,4
10.251256281407,5,5
10.251256281407,7,7
10.251256281407,10,9
10.251256281407,5,5
10.251256281407,5,5
10.251256281407,9,8
10.251256281407,5,4
10.251256281407,4,3
10.4522613065327,6,6
10.4522613065327,9,8
10.4522613065327,6,6
10.4522613065327,8,7
10.4522613065327,7,4
10.4522613065327,6,6
10.4522613065327,6,6
10.4522613065327,11,11
10.4522613065327,3,3
10.4522613065327,5,5
10.6532663316583,6,6
10.6532663316583,7,7
10.6532663316583,10,10
10.6532663316583,6,6
10.6532663316583,6,6
10.6532663316583,8,8
10.6532663316583,6,6
10.6532663316583,9,9
10.6532663316583,6,5
10.6532663316583,6,5
10.8542713567839,6,6
10.8542713567839,5,5
10.8542713567839,3,3
10.8542713567839,3,3
10.8542713567839,10,10
10.8542713567839,5,5
10.8542713567839,9,8
10.8542713567839,8,8
10.8542713567839,10,10
10.8542713567839,11,9
11.0552763819095,4,3
11.0552763819095,6,6
11.0552763819095,13,12
11.0552763819095,7,7
11.0552763819095,10,10
11.0552763819095,6,6
11.0552763819095,2,1
11.0552763819095,7,7
11.0552763819095,5,5
11.0552763819095,7,7
11.2562814070352,8,8
11.2562814070352,7,7
11.2562814070352,7,7
11.2562814070352,6,6
11.2562814070352,5,5
11.2562814070352,6,6
11.2562814070352,2,2
11.2562814070352,7,7
11.2562814070352,12,10
11.2562814070352,4,4
11.4572864321608,3,3
11.4572864321608,10,7
11.4572864321608,5,5
11.4572864321608,2,2
11.4572864321608,9,8
11.4572864321608,4,4
11.4572864321608,10,9
11.4572864321608,4,4
11.4572864321608,6,4
11.4572864321608,7,7
11.6582914572864,7,7
11.6582914572864,8,8
11.6582914572864,8,8
11.6582914572864,6,5
11.6582914572864,4,4
11.6582914572864,9,9
11.6582914572864,5,5
11.6582914572864,8,7
11.6582914572864,10,9
11.6582914572864,3,3
11.8592964824121,12,11
11.8592964824121,3,3
11.8592964824121,9,9
11.8592964824121,9,9
11.8592964824121,3,3
11.8592964824121,7,7
11.8592964824121,11,10
11.8592964824121,6,6
11.8592964824121,9,9
11.8592964824121,7,6
12.0603015075377,9,9
12.0603015075377,9,9
12.0603015075377,3,3
12.0603015075377,5,5
12.0603015075377,8,8
12.0603015075377,7,6
12.0603015075377,13,13
12.0603015075377,9,8
12.0603015075377,7,6
12.0603015075377,5,5
12.2613065326633,5,5
12.2613065326633,10,9
12.2613065326633,7,7
12.2613065326633,9,8
12.2613065326633,4,4
12.2613065326633,10,9
12.2613065326633,2,2
12.2613065326633,11,9
12.2613065326633,11,11
12.2613065326633,7,6
12.4623115577889,4,4
12.4623115577889,5,5
12.4623115577889,8,8
12.4623115577889,10,9
12.4623115577889,3,2
12.4623115577889,9,9
12.4623115577889,12,12
12.4623115577889,6,5
12.4623115577889,8,8
12.4623115577889,6,6
12.6633165829146,5,4
12.6633165829146,9,9
12.6633165829146,9,9
12.6633165829146,6,6
12.6633165829146,8,8
12.6633165829146,6,6
12.6633165829146,4,4
12.6633165829146,2,2
12.6633165829146,7,7
12.6633165829146,6,4
12.8643216080402,6,6
12.8643216080402,6,6
12.8643216080402,5,5
12.8643216080402,6,6
12.8643216080402,8,8
12.8643216080402,5,5
12.8643216080402,8,8
12.8643216080402,7,6
12.8643216080402,7,7
12.8643216080402,5,5
13.0653266331658,5,5
13.0653266331658,8,8
13.0653266331658,6,6
13.0653266331658,8,8
13.0653266331658,12,11
13.0653266331658,9,9
13.0653266331658,8,8
13.0653266331658,12,12
13.0653266331658,9,9
13.0653266331658,8,8
13.2663316582915,12,12
13.2663316582915,3,3
13.2663316582915,6,6
13.2663316582915,14,14
13.2663316582915,9,7
13.2663316582915,7,7
13.2663316582915,8,7
13.2663316582915,7,6
13.2663316582915,6,6
13.2663316582915,5,5
13.4673366834171,6,5
13.4673366834171,3,3
13.4673366834171,7,6
13.4673366834171,6,5
13.4673366834171,13,13
13.4673366834171,8,8
13.4673366834171,10,10
13.4673366834171,7,7
13.4673366834171,7,7
13.4673366834171,10,10
13.6683417085427,15,14
13.6683417085427,7,6
13.6683417085427,12,11
13.6683417085427,9,9
13.6683417085427,8,6
13.6683417085427,13,13
13.6683417085427,10,8
13.6683417085427,13,13
13.6683417085427,8,7
13.6683417085427,6,6
13.8693467336683,7,6
13.8693467336683,11,10
13.8693467336683,2,2
13.8693467336683,5,5
